scenario,protocol,n_agents,run,denm_pdr,denm_ddl,bsm_pdr,emerg_p99,latency_p99,mean_cbr
urban,QDAP,25,0,0.86500,0.86500,0.64968,2.895,9.477,0.1120
urban,QDAP,25,1,0.81515,0.81515,0.66576,2.648,9.708,0.1227
urban,QDAP,25,2,0.85606,0.85606,0.60706,2.528,9.154,0.1227
urban,QDAP,25,3,0.75714,0.75714,0.68403,3.038,9.872,0.1173
urban,QDAP,25,4,0.84921,0.84921,0.58392,2.708,9.694,0.1173
urban,QDAP,25,5,0.82754,0.82754,0.64255,2.751,9.900,0.1280
urban,QDAP,25,6,0.69028,0.69028,0.59882,2.859,9.407,0.1333
urban,QDAP,25,7,0.64603,0.64603,0.57372,2.806,9.500,0.1173
urban,QDAP,25,8,0.80303,0.80303,0.62808,2.952,9.818,0.1227
urban,QDAP,25,9,0.50667,0.50667,0.60557,3.093,9.033,0.1120
urban,QDAP,25,10,0.68730,0.68730,0.60395,2.740,9.697,0.1173
urban,QDAP,25,11,0.83623,0.83623,0.58735,2.674,9.357,0.1280
urban,QDAP,25,12,0.86333,0.86333,0.64536,2.756,9.514,0.1120
urban,QDAP,25,13,0.71429,0.71429,0.52948,2.686,9.775,0.1173
urban,QDAP,25,14,0.66364,0.66364,0.61848,2.795,9.471,0.1227
urban,QDAP,25,15,0.62500,0.62500,0.67987,3.341,8.890,0.1120
urban,QDAP,25,16,0.84127,0.84127,0.64091,2.660,9.523,0.1173
urban,QDAP,25,17,0.79697,0.79697,0.65881,2.615,9.874,0.1227
urban,QDAP,25,18,0.82899,0.82899,0.64063,2.419,9.785,0.1280
urban,QDAP,25,19,0.58116,0.58116,0.59810,2.537,9.975,0.1280
urban,QDAP-noFEC,25,0,0.80167,0.80167,0.62718,2.665,9.476,0.1120
urban,QDAP-noFEC,25,1,0.75909,0.75909,0.64371,2.847,9.708,0.1227
urban,QDAP-noFEC,25,2,0.77879,0.77879,0.58386,3.076,9.208,0.1227
urban,QDAP-noFEC,25,3,0.68413,0.68413,0.66370,3.050,9.900,0.1173
urban,QDAP-noFEC,25,4,0.80159,0.80159,0.55829,2.803,9.729,0.1173
urban,QDAP-noFEC,25,5,0.75942,0.75942,0.61925,2.768,9.850,0.1280
urban,QDAP-noFEC,25,6,0.62083,0.62083,0.57363,2.718,9.377,0.1333
urban,QDAP-noFEC,25,7,0.56032,0.56032,0.54977,2.650,9.544,0.1173
urban,QDAP-noFEC,25,8,0.75152,0.75152,0.60531,2.728,9.967,0.1227
urban,QDAP-noFEC,25,9,0.45833,0.45833,0.58593,2.657,8.997,0.1120
urban,QDAP-noFEC,25,10,0.58571,0.58571,0.57496,2.650,9.825,0.1173
urban,QDAP-noFEC,25,11,0.75362,0.75362,0.56554,2.436,9.229,0.1280
urban,QDAP-noFEC,25,12,0.81667,0.81667,0.62075,2.840,9.487,0.1120
urban,QDAP-noFEC,25,13,0.64286,0.64286,0.50429,2.486,10.057,0.1173
urban,QDAP-noFEC,25,14,0.59697,0.59697,0.59615,2.581,9.442,0.1227
urban,QDAP-noFEC,25,15,0.50000,0.50000,0.65905,2.770,8.821,0.1120
urban,QDAP-noFEC,25,16,0.76984,0.76984,0.61905,2.936,9.486,0.1173
urban,QDAP-noFEC,25,17,0.75152,0.75152,0.63678,2.893,9.871,0.1227
urban,QDAP-noFEC,25,18,0.75797,0.75797,0.61755,2.786,9.713,0.1280
urban,QDAP-noFEC,25,19,0.50580,0.50580,0.57636,2.607,10.098,0.1280
urban,QDAP-noSched,25,0,0.86500,0.86500,0.64968,9.851,9.525,0.1120
urban,QDAP-noSched,25,1,0.81515,0.81515,0.66576,8.556,9.450,0.1227
urban,QDAP-noSched,25,2,0.85606,0.85606,0.60706,9.509,9.461,0.1227
urban,QDAP-noSched,25,3,0.75714,0.75714,0.68403,9.860,9.689,0.1173
urban,QDAP-noSched,25,4,0.84921,0.84921,0.58392,9.216,9.606,0.1173
