scenario,protocol,n_agents,run,denm_pdr,denm_ddl,bsm_pdr,emerg_p99,latency_p99,mean_cbr
urban,QDAP,25,0,0.86500,0.86500,0.64968,2.895,9.477,0.1120
urban,QDAP,25,1,0.81515,0.81515,0.66576,2.648,9.708,0.1227
urban,QDAP,25,2,0.85606,0.85606,0.60706,2.528,9.154,0.1227
urban,QDAP,25,3,0.75714,0.75714,0.68403,3.038,9.872,0.1173
urban,QDAP,25,4,0.84921,0.84921,0.58392,2.708,9.694,0.1173
urban,QDAP,25,5,0.82754,0.82754,0.64255,2.751,9.900,0.1280
urban,QDAP,25,6,0.69028,0.69028,0.59882,2.859,9.407,0.1333
urban,QDAP,25,7,0.64603,0.64603,0.57372,2.806,9.500,0.1173
urban,QDAP,25,8,0.80303,0.80303,0.62808,2.952,9.818,0.1227
urban,QDAP,25,9,0.50667,0.50667,0.60557,3.093,9.033,0.1120
urban,QDAP,25,10,0.68730,0.68730,0.60395,2.740,9.697,0.1173
urban,QDAP,25,11,0.83623,0.83623,0.58735,2.674,9.357,0.1280
urban,QDAP,25,12,0.86333,0.86333,0.64536,2.756,9.514,0.1120
urban,QDAP,25,13,0.71429,0.71429,0.52948,2.686,9.775,0.1173
urban,QDAP,25,14,0.66364,0.66364,0.61848,2.795,9.471,0.1227
urban,QDAP,25,15,0.62500,0.62500,0.67987,3.341,8.890,0.1120
urban,QDAP,25,16,0.84127,0.84127,0.64091,2.660,9.523,0.1173
urban,QDAP,25,17,0.79697,0.79697,0.65881,2.615,9.874,0.1227
urban,QDAP,25,18,0.82899,0.82899,0.64063,2.419,9.785,0.1280
urban,QDAP,25,19,0.58116,0.58116,0.59810,2.537,9.975,0.1280
urban,DSRC 802.11p,25,0,0.69500,0.69500,0.62540,2.339,2.451,0.1120
urban,DSRC 802.11p,25,1,0.65909,0.65909,0.63928,2.623,2.498,0.1227
urban,DSRC 802.11p,25,2,0.69394,0.69394,0.57611,2.298,2.484,0.1227
urban,DSRC 802.11p,25,3,0.59683,0.59683,0.65966,2.352,2.499,0.1173
urban,DSRC 802.11p,25,4,0.71587,0.71587,0.55345,2.454,2.457,0.1173
urban,DSRC 802.11p,25,5,0.64493,0.64493,0.61459,2.543,2.482,0.1280
urban,DSRC 802.11p,25,6,0.51389,0.51389,0.56932,2.240,2.483,0.1333
urban,DSRC 802.11p,25,7,0.48413,0.48413,0.54484,2.223,2.458,0.1173
urban,DSRC 802.11p,25,8,0.65152,0.65152,0.60033,2.777,2.517,0.1227
urban,DSRC 802.11p,25,9,0.35333,0.35333,0.58092,2.321,2.484,0.1120
urban,DSRC 802.11p,25,10,0.49683,0.49683,0.57267,2.646,2.475,0.1173
urban,DSRC 802.11p,25,11,0.61594,0.61594,0.56250,2.552,2.489,0.1280
urban,DSRC 802.11p,25,12,0.67833,0.67833,0.61977,2.515,2.467,0.1120
urban,DSRC 802.11p,25,13,0.55238,0.55238,0.50209,2.382,2.510,0.1173
urban,DSRC 802.11p,25,14,0.52273,0.52273,0.58951,2.420,2.493,0.1227
urban,DSRC 802.11p,25,15,0.44167,0.44167,0.65323,2.391,2.491,0.1120
urban,DSRC 802.11p,25,16,0.63492,0.63492,0.61483,2.598,2.473,0.1173
urban,DSRC 802.11p,25,17,0.64091,0.64091,0.63087,2.732,2.510,0.1227
urban,DSRC 802.11p,25,18,0.64203,0.64203,0.61366,2.687,2.482,0.1280
urban,DSRC 802.11p,25,19,0.43913,0.43913,0.57236,2.852,2.482,0.1280
urban,802.11bd,25,0,0.89000,0.89000,0.73493,1.376,1.471,0.1120
urban,802.11bd,25,1,0.85455,0.85455,0.73842,1.408,1.493,0.1227
urban,802.11bd,25,2,0.86212,0.86212,0.68977,1.500,1.510,0.1227
urban,802.11bd,25,3,0.76032,0.76032,0.76892,1.672,1.493,0.1173
urban,802.11bd,25,4,0.89841,0.89841,0.66949,1.310,1.492,0.1173
urban,802.11bd,25,5,0.83188,0.83188,0.72829,1.459,1.501,0.1280
