scenario,protocol,n_agents,run,bsm_sent,bsm_delivered,bsm_pdr,bsm_deadline_rate,denm_sent,denm_delivered,denm_pdr,denm_deadline_rate,latency_p50_ms,latency_p99_ms,emergency_p99_ms,mean_cbr,cascade_n_vehicles,cascade_mean_ms,cascade_p95_ms
urban,QDAP,10,0,14400,9360,0.6500,0.6500,240,165,0.6875,0.6875,1.41,8.93,2.65,0.0480,0,,
urban,QDAP,10,1,14400,9955,0.6913,0.6913,240,204,0.8500,0.8500,1.51,9.11,2.35,0.0480,0,,
urban,QDAP,10,2,18000,13135,0.7297,0.7297,270,228,0.8444,0.8444,1.74,10.03,2.63,0.0533,0,,
urban,QDAP,10,3,18000,10690,0.5939,0.5939,270,185,0.6852,0.6852,1.59,9.37,3.54,0.0533,0,,
urban,QDAP,10,4,14400,8802,0.6112,0.6112,240,173,0.7208,0.7208,1.49,8.94,2.74,0.0480,0,,
urban,DSRC 802.11p,10,5,14400,8465,0.5878,0.5878,240,127,0.5292,0.5292,0.52,2.42,2.46,0.0480,0,,
urban,DSRC 802.11p,10,6,14400,9258,0.6429,0.6429,240,151,0.6292,0.6292,0.51,2.42,2.69,0.0480,0,,
urban,DSRC 802.11p,10,7,18000,12421,0.6901,0.6901,270,159,0.5889,0.5889,0.52,2.46,2.03,0.0533,0,,
urban,DSRC 802.11p,10,8,18000,9669,0.5372,0.5372,270,138,0.5111,0.5111,0.51,2.45,2.32,0.0533,0,,
urban,DSRC 802.11p,10,9,14400,8184,0.5683,0.5683,240,138,0.5750,0.5750,0.51,2.51,2.52,0.0480,0,,
urban,802.11bd,10,10,14400,10187,0.7074,0.7074,240,175,0.7292,0.7292,0.32,1.51,1.22,0.0480,0,,
urban,802.11bd,10,11,14400,10774,0.7482,0.7482,240,208,0.8667,0.8667,0.31,1.46,1.73,0.0480,0,,
urban,802.11bd,10,12,18000,14146,0.7859,0.7859,270,228,0.8444,0.8444,0.31,1.50,1.20,0.0533,0,,
urban,802.11bd,10,13,18000,11688,0.6493,0.6493,270,185,0.6852,0.6852,0.31,1.50,1.29,0.0533,0,,
urban,802.11bd,10,14,14400,9549,0.6631,0.6631,240,182,0.7583,0.7583,0.31,1.52,1.81,0.0480,0,,
urban,C-V2X Mode 4,10,15,14400,9400,0.6528,0.6406,240,159,0.6625,0.3250,52.20,100.86,100.26,0.0480,0,,
urban,C-V2X Mode 4,10,16,14400,10003,0.6947,0.6837,240,193,0.8042,0.4000,52.71,100.69,99.31,0.0480,0,,
urban,C-V2X Mode 4,10,17,18000,13224,0.7347,0.7214,270,217,0.8037,0.3889,51.79,100.80,100.02,0.0533,0,,
urban,C-V2X Mode 4,10,18,18000,10811,0.6006,0.5894,270,177,0.6556,0.3111,52.47,100.75,99.91,0.0533,0,,
urban,C-V2X Mode 4,10,19,14400,8818,0.6124,0.5998,240,160,0.6667,0.3000,53.18,100.79,101.09,0.0480,0,,
urban,UDP,10,20,14400,8167,0.5672,0.5672,240,149,0.6208,0.6208,1.42,9.07,6.58,0.0480,0,,
urban,UDP,10,21,14400,8974,0.6232,0.6232,240,180,0.7500,0.7500,1.42,9.08,7.56,0.0480,0,,
